hook_name,target_class,target_method,category,fired_in_v2_corpus,v2_state,hook_script_line
DexClassLoader.<init>,dalvik.system.DexClassLoader,<init>,dynamic_code_loading,no,implemented_but_not_exercised,441
PathClassLoader.<init>,dalvik.system.PathClassLoader,<init>,dynamic_code_loading,no,implemented_but_not_exercised,453
System.loadLibrary,java.lang.System,loadLibrary,native_code,yes,implemented_and_exercised,464
Runtime.loadLibrary,java.lang.Runtime,loadLibrary,native_code,no,implemented_but_not_exercised,475
Runtime.load,java.lang.Runtime,load,native_code,no,implemented_but_not_exercised,486
Cipher.doFinal,javax.crypto.Cipher,doFinal,crypto,yes,implemented_and_exercised,497
MessageDigest.getInstance,java.security.MessageDigest,getInstance,crypto,yes,implemented_and_exercised,507
MessageDigest.digest,java.security.MessageDigest,digest,crypto,yes,implemented_and_exercised,518
okhttp3.RealCall.enqueue,okhttp3.RealCall,enqueue,network,yes,implemented_and_exercised,528
AccountManager.getAccounts,android.accounts.AccountManager,getAccounts,accounts,no,implemented_but_not_exercised,540
AccountManager.getAccountsByType,android.accounts.AccountManager,getAccountsByType,accounts,no,implemented_but_not_exercised,549
AudioRecord.<init>,android.media.AudioRecord,<init>,audio,yes,implemented_and_exercised,560
MediaRecorder.setAudioSource,android.media.MediaRecorder,setAudioSource,audio,yes,implemented_and_exercised,572
SharedPreferences.getString,android.app.SharedPreferencesImpl,getString,storage,yes,implemented_and_exercised,583
SharedPreferences.getInt,android.app.SharedPreferencesImpl,getInt,storage,yes,implemented_and_exercised,592
SharedPreferences.putString,android.app.SharedPreferencesImpl$EditorImpl,putString,storage,yes,implemented_and_exercised,601
SharedPreferences.apply,android.app.SharedPreferencesImpl$EditorImpl,apply,storage,yes,implemented_and_exercised,610
SQLiteDatabase.rawQuery,android.database.sqlite.SQLiteDatabase,rawQuery,database,yes,implemented_and_exercised,619
SQLiteDatabase.execSQL,android.database.sqlite.SQLiteDatabase,execSQL,database,yes,implemented_and_exercised,630
SQLiteDatabase.insert,android.database.sqlite.SQLiteDatabase,insert,database,yes,implemented_and_exercised,645
MediaPlayer.setDataSource,android.media.MediaPlayer,setDataSource,media,no,implemented_but_not_exercised,656
MediaPlayer.start,android.media.MediaPlayer,start,media,no,implemented_but_not_exercised,677
MediaPlayer.prepare,android.media.MediaPlayer,prepare,media,no,implemented_but_not_exercised,686
Context.startActivity,android.content.ContextWrapper,startActivity,ipc_intents,yes,implemented_and_exercised,696
Context.startActivity,android.content.ContextWrapper,startActivity,navigation,yes,implemented_and_exercised,697
Context.sendBroadcast,android.content.ContextWrapper,sendBroadcast,ipc_intents,yes,implemented_and_exercised,706
Context.startService,android.content.ContextWrapper,startService,ipc_intents,yes,implemented_and_exercised,729
Context.bindService,android.content.ContextWrapper,bindService,ipc_intents,yes,implemented_and_exercised,744
WebView.loadUrl,android.webkit.WebView,loadUrl,webview,yes,implemented_and_exercised,753
NotificationManager.notify,android.app.NotificationManager,notify,notifications,yes,implemented_and_exercised,762
NotificationManager.notifyAsUser,android.app.NotificationManager,notifyAsUser,notifications,yes,implemented_and_exercised,792
Socket.connect,java.net.Socket,connect,network,yes,implemented_and_exercised,804
AssetManager.open,android.content.res.AssetManager,open,file_io,yes,implemented_and_exercised,815
retrofit2.OkHttpCall.execute,retrofit2.OkHttpCall,execute,network,yes,implemented_and_exercised,837
volley.RequestQueue.add,com.android.volley.RequestQueue,add,network,no,implemented_but_not_exercised,852
